mcc,mcc_ci_low,mcc_ci_high,mcc_fixed_prev,f1,f1_ci_low,f1_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,prevalence,n,flag_rate,starting_year,strategy,month
0.05300295616081275,-0.0003441417717664736,0.13896268265255063,0.057044977736763494,0.046511627906976744,0.0,0.12638370118845502,0.02065528810554461,0.009447884058817947,0.05234070989480289,0.0005397291234461705,118578,0.00018553188618462108,2015,static_baseline,2025-10-01
0.12108231790339401,-0.0001740865119885396,0.25580517389629076,0.16243186772451745,0.11538461538461539,0.0,0.24012244897959187,0.03014754280340627,0.00312995177200135,0.1009462696193928,0.00029211127721360207,116394,0.00015464714676014229,2015,static_baseline,2025-11-01
0.04397135665335037,-0.0002080997639241365,0.11967283349370382,0.08637770836071054,0.043478260869565216,0.0,0.11544117647058826,0.007353098476863936,0.0012073367249885295,0.02734526233289868,0.0001578099303975149,120398,0.00022425621688067907,2015,static_baseline,2025-12-01
0.11506935717065961,0.06505392858549765,0.18011334774486043,0.13267416349638536,0.08849557522123894,0.04883268824771288,0.14154312668463612,0.018311846227846942,0.010077231871168152,0.03896986847455284,0.000472561876070648,84645,0.002197412723728513,2018,incremental_online,2023-01-01
0.10005992931009108,0.053056994924302596,0.14521158940431705,0.10411852166816765,0.06567164179104477,0.034851964041430525,0.09527649769585254,0.047340152609861214,0.012007628677144106,0.10523948769695635,0.0005239785692765166,76339,0.00386434194841431,2018,incremental_online,2023-02-01
0.13921643929816663,0.09061603990406573,0.1907440065090393,0.09716133591937938,0.10294117647058823,0.06902947919320103,0.14175162994060633,0.03753784456493402,0.021424339592291387,0.07681361928537177,0.0007665275124413312,84798,0.004044906719498102,2018,incremental_online,2023-03-01
0.08592826100482336,0.05524690055949711,0.11356354052870618,0.04990208724391558,0.0530565167243368,0.03497304705216613,0.06969545860054874,0.027360857884101038,0.016208076081853214,0.06429738350991432,0.0010926462367230776,78708,0.009922752452101438,2018,incremental_online,2023-04-01
0.07834647172609636,0.05392155845758935,0.10551888589276015,0.059621797657912416,0.03963666391412056,0.028090403449010006,0.0527320486176209,0.019621204092335344,0.010932811046844125,0.0423745240175831,0.0008922260460481338,86301,0.013140056314527063,2018,incremental_online,2023-05-01
0.15094978276985288,0.09902740150482518,0.19323093557635374,0.11943354010239604,0.10229276895943562,0.0680703846736332,0.1309837865770945,0.08235730774005104,0.03967000782200936,0.1483381950505643,0.0008747124233128835,83456,0.005919286809815951,2018,incremental_online,2023-06-01
0.04998323756208667,0.02380393143117452,0.08504901099677213,0.05255073879016121,0.029143897996357013,0.014278834125594195,0.05003205128205129,0.02103596839362179,0.005072368064312036,0.07207109258291725,0.0005450643289463225,88063,0.005689108933377241,2018,incremental_online,2023-07-01
